Tweets,Polarity,Sentiments,Month
Classes shall remain suspended till 31st March 2020 corona coronavirus covid19 washyourhands preventionisbetterthancure Bhubaneswar,0.0,Neutral,03
Corona Virus Need Not Require Any More Investigation or Trial on Chemical and Bylogical weapons in the world,0.5,Positive,03
Drum beating for create awareness on COVID19 at GKS level keredi sc chc gumagarh,0.0,Neutral,03
Drum beating at village level and create awareness on COVID19 at keredi panchayat phulbani block,0.0,Neutral,03
Wear mask stay safe from corona StaySafe WearMask COVID19,0.5,Positive,04
Wear mask stay safe from corona StaySafe WearMask COVID19,0.5,Positive,04
Er Ashok Samal KumarJitu a GITA Alumnus working as a Solution Architect for Microsoft Western Europe is doing great to ease covid19 tests using AI Please check out the link and the information Odisha,0.4,Positive,04
