Tweets
With @be_a_bassi #standupcomedy #standupcomedian #quarantine #corona #dehradun #uttarakhand #bassi #anubhavsinghbassi #comedy #laughter – at Dehradun
Nautiyal ji the break up of corona related information shared by you through the series was both interesting and informative. thank you for the good work. we will eagerly wait for news.
Delhi polution free Ganga polution free Ozon layer fixd _abhishek_bharti ThnkU corona ThnkU lockdown ThnkU indian Govt. . . . . . . . #power #of #nature #indiafightscorona #stayhome #staysafe #nature… https://www.instagram.com/p/B_th2aaJF3d/?igshid=1lfvq9dddhh5r
lets people comming home be #self_quarantine. govt. agencies can't take care of everything and everyone. we all have to learn to live with the #COVID19 virus by taking precautionary measures.
