Tweets
"#CureCancer_By_TrueWorship Say bye-bye to all Disease forever Either CANCER ,CORONA VIRUS, HIV, by follow the true worship of GOD #Kabir_Is_Real_God . We Have so many examples of the person who is suffers from disease but today they all are absolutely active. #TuesdayMorning"
"There is noise all over the world that animals are the cause of corona virus in humans, but no one has dare to say that do not kill animals or we will have to die too. Today, Saint Rampal Ji's disciples are telling you through this tag, give up eating meat. #NoMeat_NoCoronaVirus"
#NoMeat_NoCoronaVirus Stop Eating Meat Corona Virus Came from Wild or Domestic Animals. One should never consume meat. God never happy with those who kill His beings. -Saint Rampal Ji Maharaj Watch Sadhna T.V-7:30pm @SatlokChannel @SpiritualKNews @aajtak
"#NoMeat_NoCoronaVirus Eating a meat is Greater SIN . they also cause diseases like CANCERS , Skin diseases , CORONA Virus @WHO . Stop eating MEAT , it’s against the constitution of God. We Should avoid the All meat n Follow the TRUE GOD WORSHIP #Kabir_Is_Real_God"
#Porkistan is safer than us in context of its susceptibility to the #CoronaVirus. Even Corona Virus ran back to #MainlandChina seeing conditions in #Pakistan.
Chinese scientists says COVID-19 #coronavirus is likely bio-engineered by Chinese government 
"#WorldSavior_SaintRampalJi The real reformer will not be muslim or Jews He will be Hindu America china all men , women must see this video human life is too short. #COVID19 God save aal types of virus but how?? https://twitter.com/rajnisavita/status/1228004484673990657/video/1"
