Tweets,Polarity,Sentiments
It s everywhere fighting for Covid 19 life in tribal society,0.0,Neutral
The positive thing about Covid 19 is that everyone is becoming more wiser and more humane,0.4193181818181818,Positive
An abrupt increase of price of products in Shops Grocery stores Gas station is another thrilling feature that COVID 19 carries along Raise Voice People of Nagaland,0.0625,Positive
somewhere in Mon district Nagaland Source FB making the best use of what is available is need of the hour creativity innovation its everybody s responsibility in this fight against COVID19 and not just depend on the Govt or a miracle to happen,0.7,Positive
